   date       s19h_m     s19h_b      s19v_m     s19v_b      s22v_m     s22v_b      s37h_m     s37h_b      s37v_m     s37v_b   
2021-06-06   1.04360   -6.93248     0.97233   11.62064     0.92564   22.75195     0.99462    2.38638     0.93494   17.86547  
2021-06-07   1.04949   -8.32206     0.97684   10.55387     0.93280   21.03296     1.00504    0.07111     0.93974   16.75835  
2021-06-08   1.05238   -8.82902     0.97988    9.91065     0.93155   21.41230     1.01157   -1.22624     0.94621   15.24258  
2021-06-09   1.04882   -7.91377     0.97497   11.03482     0.92465   23.04778     1.00199    0.94171     0.93256   18.32628  
2021-06-10   1.04859   -8.03080     0.97456   11.05423     0.92775   22.20864     0.99751    1.75030     0.92821   19.40921  
2021-06-11   1.04504   -7.39454     0.97362   11.28774     0.92269   23.59473     0.99569    2.26454     0.93066   18.99353  
2021-06-12   1.04917   -8.30635     0.97617   10.67338     0.92580   22.80857     1.00146    0.95409     0.93288   18.46303  
2021-06-13   1.05299   -9.10354     0.97873    9.95853     0.93153   21.31544     1.01129   -1.30030     0.94085   16.37751  
2021-06-14   1.05074   -8.59356     0.97805   10.23695     0.93041   21.74269     1.00021    1.35844     0.93149   18.87717  
2021-06-15   1.05149   -8.81662     0.97948    9.84036     0.93143   21.38316     1.00439    0.30676     0.93903   16.95034  
2021-06-16   1.05272   -9.09986     0.97930    9.85135     0.92879   21.96398     1.00492    0.03029     0.93752   17.19356  
2021-06-17   1.05297   -9.68169     0.97864    9.69788     0.93770   19.50176     1.00641   -0.76749     0.93438   17.68086  
2021-06-18   1.05086   -9.02888     0.97973    9.71243     0.93499   20.53405     1.00637   -0.38846     0.94347   15.83778  
2021-06-19   1.05025   -8.73688     0.97904    9.96023     0.93167   21.44141     1.00188    0.83211     0.94012   16.85130  
2021-06-20   1.04925   -8.40917     0.97463   10.99497     0.92532   22.85003     0.99809    1.50844     0.92975   19.06416  
2021-06-21   1.05160   -9.19908     0.97976    9.63170     0.93300   20.81991     1.00277    0.07821     0.93955   16.55572  
2021-06-22   1.05453   -9.79870     0.97920    9.72012     0.93186   21.05638     1.01176   -1.85258     0.94127   16.10042  
2021-06-23   1.04844   -8.30518     0.97533   10.79545     0.92509   22.97226     0.99413    2.63120     0.92985   19.23752  
2021-06-24   1.04168   -7.13792     0.97475   10.80982     0.92223   23.48459     0.99140    2.69156     0.92842   19.33076  
2021-06-25   1.05408   -9.41815     0.97870   10.04513     0.93371   20.87804     1.01484   -2.04647     0.94048   16.59788  
2021-06-26   1.04607   -7.67501     0.97378   11.19762     0.92239   23.71364     0.99951    1.34654     0.92681   19.83437  
2021-06-27   1.05664  -10.04565     0.98328    8.86037     0.94336   18.52600     1.00663   -0.30187     0.93779   17.29270  
2021-06-28   1.04540   -7.89841     0.97584   10.49443     0.93068   21.41839     0.99433    2.24669     0.93071   18.83289  
2021-06-29   1.05150   -9.01362     0.98032    9.51180     0.93653   20.08635     1.00252    0.66768     0.93860   17.06884  
2021-06-30   1.05655  -10.12237     0.98272    9.01189     0.93778   19.92467     1.01127   -1.20444     0.93474   17.98206  
2021-07-01   1.05276   -9.04638     0.97834   10.16205     0.93503   20.67189     1.00970   -0.69174     0.93729   17.46687  
2021-07-02   1.04669   -7.82712     0.97596   10.70114     0.92784   22.42989     0.99917    1.58379     0.93316   18.51993  
2021-07-03   1.05292   -9.23542     0.98196    9.14356     0.93814   19.75452     1.00421    0.32368     0.94004   16.67768  
2021-07-04   1.04910   -8.45803     0.97825    9.99861     0.93533   20.43181     1.00706   -0.36303     0.93967   16.71853  
2021-07-05   1.05321   -9.50928     0.98047    9.44407     0.93823   19.69656     1.00704   -0.44790     0.93847   17.03318  
2021-07-06   1.05376   -9.37934     0.98078    9.46074     0.93496   20.60345     1.00765   -0.40459     0.94110   16.44738  
2021-07-07   1.04959   -8.59756     0.98058    9.42015     0.93425   20.71683     1.00351    0.42067     0.94278   15.99778  
2021-07-08   1.04865   -8.56363     0.98056    9.35883     0.93382   20.68477     1.00492   -0.11342     0.94435   15.50028  
2021-07-09   1.04717   -8.22606     0.97832    9.89965     0.93116   21.30197     0.99413    2.30723     0.93352   18.11618  
2021-07-10   1.05686  -10.44638     0.98599    8.10949     0.94114   18.88253     1.00953   -1.04384     0.94311   15.91590  
2021-07-11   1.04942   -8.71779     0.97879    9.83705     0.93515   20.38399     1.00041    0.95050     0.93330   18.14506  
2021-07-12   1.05512   -9.75609     0.98222    9.11776     0.93877   19.70480     1.01737   -2.53359     0.95140   13.99571  
2021-07-13   1.04888   -8.47810     0.98174    9.13103     0.93433   20.76833     1.00535    0.04237     0.94551   15.31140  
2021-07-14   1.05216   -9.15441     0.98219    9.12161     0.93547   20.52259     1.01045   -1.06649     0.94519   15.52693  
2021-07-15   1.05055   -8.69278     0.98024    9.59639     0.93207   21.29750     1.01132   -1.26394     0.94475   15.53837  
2021-07-16   1.05363   -9.29831     0.98346    8.80429     0.93190   21.28743     1.01020   -0.97996     0.94403   15.68272  
2021-07-17   1.05069   -8.78953     0.98044    9.48244     0.93152   21.28476     1.01010   -1.13784     0.94436   15.44260  
2021-07-18   1.04912   -8.25948     0.98088    9.44904     0.93455   20.59799     1.00294    0.66751     0.94502   15.45938  
2021-07-19   1.04859   -8.67665     0.98190    8.86910     0.93743   19.59796     1.00220    0.32556     0.94303   15.59085  
2021-07-20   1.04734   -8.17971     0.97875    9.83160     0.93407   20.80161     1.00233    0.73519     0.93715   17.33231  
2021-07-21   1.05439   -9.52034     0.98542    8.36789     0.94122   19.29284     1.01282   -1.40625     0.95205   13.95436  
2021-07-22   1.04464   -7.64914     0.97662   10.38805     0.93000   21.87584     0.99481    2.29845     0.93807   17.19990  
2021-07-23   1.04701   -8.17511     0.98020    9.51732     0.93522   20.57209     0.99913    1.49325     0.94235   16.17201  
2021-07-24   1.05468   -9.89294     0.98331    8.64882     0.93919   19.37102     1.00918   -1.18420     0.94379   15.56494  
2021-07-25   1.05363   -9.21594     0.98267    9.08476     0.93173   21.44205     1.01066   -1.00541     0.94366   15.85308  
2021-07-26   1.05376   -9.37530     0.98523    8.34521     0.94085   19.05507     1.01102   -1.24840     0.95202   13.69330  
2021-07-27   1.05460   -9.64073     0.98653    8.00032     0.93962   19.37925     1.00193    0.91723     0.94550   15.40041  
2021-07-28   1.04902   -8.27810     0.98273    9.05713     0.93235   21.16875     0.99439    2.61631     0.93529   17.88790  
2021-07-29   1.04707   -8.11634     0.97934    9.76232     0.93816   19.54142     0.99531    2.09995     0.93887   16.87194  
2021-07-30   1.05248   -9.02294     0.98321    9.03166     0.93636   20.32730     1.00930   -0.35949     0.93896   17.18615  
2021-07-31   1.06084  -10.58902     0.98646    8.26007     0.94155   18.91517     1.01376   -1.45965     0.93977   16.86766  
2021-08-01   1.05033   -8.37710     0.98244    9.22625     0.93728   19.98194     0.99954    1.67023     0.94639   15.29838  
2021-08-02   1.05108   -8.74382     0.98324    8.83804     0.93391   20.56878     1.00351    0.43637     0.94126   16.21397  
2021-08-03   1.05401   -9.41093     0.98404    8.68265     0.93506   20.37850     1.00600   -0.00414     0.94299   15.97171  
2021-08-04   1.05077   -8.32279     0.98491    8.66646     0.93825   19.88439     1.00934   -0.30834     0.95163   14.10831  
2021-08-05   1.05740   -9.97799     0.98771    7.91655     0.93760   19.85826     1.00840   -0.44303     0.94751   14.97361  
2021-08-06   1.04229   -7.02326     0.97597   10.58306     0.92058   23.82993     0.98240    4.87306     0.91968   21.36624  
2021-08-07   1.04894   -8.11293     0.98290    9.05740     0.93971   19.32855     1.00679   -0.07429     0.95130   13.99768  
2021-08-08   1.05405   -9.37893     0.98912    7.53855     0.94580   17.92106     1.00747   -0.16796     0.95659   12.88038  
2021-08-09   1.05207   -9.31554     0.98442    8.48474     0.94773   17.18480     0.99344    2.49394     0.93677   17.51426  
2021-08-10   1.06328  -11.37931     0.99109    7.02435     0.94182   18.93404     1.01909   -2.93310     0.95523   12.97328  
2021-08-11   1.05338   -8.84391     0.98484    8.76675     0.94176   19.14031     1.00873   -0.17985     0.95167   14.21606  
2021-08-12   1.05255   -9.01145     0.98328    8.98631     0.93766   19.98519     1.00734   -0.10301     0.95098   14.21077  
2021-08-13   1.05225   -8.97662     0.98562    8.37990     0.93768   19.95236     1.00755   -0.24024     0.93993   16.84924  
2021-08-14   1.05506   -9.63170     0.98648    8.15953     0.93833   19.79991     1.00698   -0.15740     0.94367   15.89638  
2021-08-15   1.04943   -8.14787     0.98248    9.25391     0.93548   20.55023     0.99827    2.02667     0.94018   16.85651  
2021-08-16   1.05062   -8.36978     0.98300    9.13688     0.93603   20.44141     1.00437    0.68653     0.94903   14.73938  
2021-08-17   1.06271  -11.18488     0.99227    6.81042     0.94240   18.80389     1.02059   -3.02706     0.95826   12.46226  
2021-08-18   1.05100   -8.68107     0.98309    8.95659     0.93545   20.46288     1.00111    1.18380     0.94071   16.58823  
